ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD470_2,CH/FPD/TAPPING/RAT,12,D0,14,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1) OR NOT(CH/FPD/END/CONN/RAT=D0 OR CH/FPD/END/CONN/RAT=Y0),999999,PN 6,PN 6,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,D1,15,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1) OR NOT(CH/FPD/END/CONN/RAT=D1 OR CH/FPD/END/CONN/RAT=Y0),0,PN 10,PN 10,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,D2,16,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1) OR NOT(CH/FPD/END/CONN/RAT=D2 OR CH/FPD/END/CONN/RAT=Y0),0,PN 16,PN 16,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,D3,17,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1) OR NOT(CH/FPD/END/CONN/RAT=D3 OR CH/FPD/END/CONN/RAT=Y0),0,PN 25,PN 25,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,D4,18,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1) OR NOT(CH/FPD/END/CONN/RAT=D4 OR CH/FPD/END/CONN/RAT=Y0),0,PN 40,PN 40,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,D5,19,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1) OR NOT(CH/FPD/END/CONN/RAT=D5 OR CH/FPD/END/CONN/RAT=Y0),0,PN 63,PN 63,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,D6,20,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1) OR NOT(CH/FPD/END/CONN/RAT=D6 OR CH/FPD/END/CONN/RAT=Y0),0,PN 100,PN 100,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,Y0,21,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=W1),0,Not Flanged - As per schedule,Not Flanged - As per schedule,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,Z9,32,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/SETS,13,TN1,1,TRUE,FALSE,,0,One Set,One Set,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/SETS,13,TN2,2,TRUE,FALSE,CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090,0,Two Sets,Two Sets,,,,,,,,,,,
