"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADimensionH","90.55","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp23 AND Exp33 AND Exp6 AND Exp57","90.55"
"GADimensionH","90.55","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp24 AND Exp33 AND Exp6 AND Exp57","90.55"
"GADimensionH","93.6","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp25 AND Exp33 AND Exp6 AND Exp57","93.6"
"GADimensionH","93.6","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp26 AND Exp33 AND Exp6 AND Exp57","93.6"
"GADimensionH","99.95","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp32 AND Exp33 AND Exp6 AND Exp57","99.95"
"GADimensionH","114.18","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp36 AND Exp33 AND Exp6 AND Exp57","114.18"
"GADimensionH","128.4","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp37 AND Exp33 AND Exp6 AND Exp57","128.4"
"GADimensionH","135","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp38 AND Exp33 AND Exp6 AND Exp57","135"
"GADimensionH","147.7","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp39 AND Exp33 AND Exp6 AND Exp57","147.7"
"GADimensionH","160.4","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp40 AND Exp33 AND Exp6 AND Exp57","160.4"
"GADimensionH","163.45","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp41 AND Exp33 AND Exp6 AND Exp57","163.45"
